ID,Call Failure,Complains,Subscription  Length,Charge Amount,Seconds of Use,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
120,0,no,37,0,0,0,0,0,2,pre-paid,not-active,25,0,no
121,1,no,37,0,7318,126,375,40,2,pre-paid,active,25,2022.48,yes
122,5,no,37,1,11275,153,2,44,4,pre-paid,active,45,290.7,yes
123,6,no,37,1,6528,74,99,34,2,pre-paid,active,25,742.59,yes
124,21,no,33,0,765,46,7,14,2,pre-paid,not-active,25,67.995,no
125,19,no,36,8,10245,92,0,39,5,post-paid,active,55,155.055,yes
126,11,no,36,1,5628,97,17,21,2,pre-paid,active,25,334.125,no
127,0,no,34,0,2650,21,0,11,3,pre-paid,active,30,106.84,yes
128,7,yes,35,0,2800,40,0,13,3,pre-paid,not-active,30,113.6,no
129,7,no,36,0,2078,43,25,28,3,pre-paid,not-active,30,184.84,no
130,0,no,36,0,0,0,0,0,3,pre-paid,not-active,30,0,no
131,0,no,36,0,1478,24,0,3,3,pre-paid,active,30,60.08,yes
132,1,no,33,1,6595,96,5,19,5,pre-paid,active,55,107.865,yes
133,0,no,36,0,438,6,0,1,4,pre-paid,not-active,45,11.1,no
134,0,no,36,1,0,0,0,0,5,pre-paid,active,55,0,yes
135,23,no,31,3,15885,237,0,77,2,pre-paid,active,25,725.49,yes
136,4,no,34,3,6775,115,262,30,2,post-paid,active,25,1489.05,yes
137,0,no,36,0,3528,81,0,25,2,pre-paid,active,25,162.405,yes
138,1,no,35,0,1475,43,29,17,3,pre-paid,not-active,30,176.72,yes
139,4,no,36,0,2590,52,166,20,2,pre-paid,active,25,865.89,yes
140,2,no,27,1,1125,35,184,8,2,post-paid,active,25,880.2,yes
141,2,no,26,0,1378,38,21,65,4,pre-paid,active,45,87.9,yes
142,9,no,27,0,510,24,1,4,2,pre-paid,not-active,25,28.53,yes
143,0,no,26,0,635,9,12,1,4,pre-paid,not-active,45,46.1,yes
144,8,no,25,0,1035,31,10,10,2,pre-paid,active,25,92.97,yes
145,0,no,25,0,3035,60,0,20,3,pre-paid,active,30,123.8,yes
146,0,no,18,0,1505,25,19,11,2,pre-paid,active,25,154.35,yes
147,14,no,17,1,6202,140,76,39,2,post-paid,active,25,627.39,yes
148,10,no,15,0,8742,170,64,37,4,pre-paid,active,45,382.8,yes
149,6,no,16,3,2662,44,22,16,3,pre-paid,active,30,196.24,yes
150,0,no,9,1,4200,39,206,7,3,pre-paid,active,30,993.56,yes
151,1,no,9,1,1297,18,0,4,3,pre-paid,active,30,52.6,no
152,6,no,33,0,4370,65,0,16,2,pre-paid,active,25,199.575,yes
153,0,no,34,0,318,4,0,3,2,pre-paid,not-active,25,14.49,yes
154,8,no,32,0,2453,54,351,23,2,pre-paid,active,25,1692.315,yes
155,8,no,33,0,4198,60,0,34,1,pre-paid,active,15,234.19,yes
156,1,no,33,0,2393,52,0,32,1,pre-paid,active,15,134.475,yes
157,9,no,33,0,3775,76,24,27,2,pre-paid,active,25,281.295,yes
158,2,no,33,0,2360,33,277,17,3,pre-paid,active,30,1203.72,yes
159,11,no,32,1,9115,115,136,42,3,pre-paid,active,30,913.2,yes
160,5,no,33,0,13773,163,0,43,3,pre-paid,active,30,557.44,yes
161,5,no,33,0,4515,77,0,24,3,pre-paid,active,30,183.68,yes
162,4,no,33,0,5918,89,0,11,2,pre-paid,active,25,270.315,yes
163,7,yes,33,0,2238,48,0,16,3,pre-paid,not-active,30,91.44,yes
164,23,no,33,2,15140,219,46,31,3,pre-paid,active,30,798.36,yes
165,2,no,33,0,3095,21,475,7,3,pre-paid,active,30,2024.64,yes
166,7,no,32,0,15485,176,142,29,2,pre-paid,active,25,1343.745,yes
167,1,no,32,0,6500,80,178,25,3,pre-paid,active,30,975.2,yes
168,0,no,32,0,875,8,0,10,2,pre-paid,not-active,25,39.735,yes
169,0,no,33,0,710,8,5,7,2,pre-paid,not-active,25,54.81,yes
170,0,no,32,0,0,0,0,0,2,pre-paid,not-active,25,0,no
171,1,no,32,0,7508,121,376,42,2,pre-paid,active,25,2035.305,yes
172,5,no,32,0,11465,148,3,46,3,pre-paid,active,30,476.52,yes
173,6,no,32,0,6718,69,100,36,2,pre-paid,active,25,755.415,yes
174,21,yes,28,0,955,41,8,16,2,pre-paid,not-active,25,80.82,no
175,19,no,31,7,10435,87,0,41,4,pre-paid,active,45,263.05,yes
176,11,no,31,0,5818,92,18,23,2,pre-paid,active,25,346.95,no
177,0,no,29,0,2840,16,0,13,3,pre-paid,active,30,114.24,yes
178,7,yes,30,0,2990,35,1,15,2,pre-paid,not-active,25,140.625,no
179,7,yes,31,0,2268,38,26,30,3,pre-paid,not-active,30,196.24,no
180,0,yes,31,0,0,0,0,0,2,pre-paid,not-active,25,0,no
181,0,no,31,0,1668,19,0,5,3,pre-paid,active,30,67.48,yes
182,1,no,28,0,6785,91,6,21,4,pre-paid,active,45,186.9,yes
183,0,no,31,0,628,1,1,3,4,pre-paid,not-active,45,18.225,no
184,0,no,31,0,338,5,0,1,4,pre-paid,active,45,8.575,yes
185,23,no,26,2,16075,232,0,79,2,pre-paid,active,25,733.815,yes
186,4,no,29,2,6965,110,263,32,2,post-paid,active,25,1501.875,yes
187,0,no,31,0,3718,76,0,27,2,pre-paid,active,25,170.73,yes
188,1,no,30,0,1665,38,30,19,3,pre-paid,not-active,30,188.12,yes
189,4,no,31,0,2780,47,167,22,2,pre-paid,active,25,878.715,yes
190,2,no,22,0,1315,30,185,10,2,post-paid,active,25,893.025,yes
191,2,no,21,0,1568,33,22,67,4,pre-paid,active,45,95.025,yes
192,9,no,22,0,700,19,2,6,2,pre-paid,not-active,25,41.355,yes
193,0,no,21,0,825,4,13,2,4,pre-paid,not-active,45,53.225,yes
194,8,no,20,0,1225,26,11,12,2,pre-paid,active,25,105.795,yes
195,0,no,20,0,3225,55,0,22,3,pre-paid,active,30,131.2,yes
196,0,no,13,0,1695,20,20,13,2,pre-paid,active,25,167.175,yes
197,14,no,12,0,6392,135,77,41,1,post-paid,active,15,782.485,yes
198,10,no,10,0,8932,165,65,39,4,pre-paid,active,45,389.925,yes
199,6,no,11,2,2852,39,23,18,3,pre-paid,active,30,207.64,yes
200,0,no,4,0,4390,34,207,9,3,pre-paid,active,30,1004.96,yes
201,1,no,4,0,1487,13,0,6,2,pre-paid,active,25,67.5,no
202,10,no,43,1,4370,77,13,18,3,pre-paid,active,30,229.88,yes
203,2,no,44,0,318,11,15,5,3,pre-paid,not-active,30,73.16,yes
204,12,no,42,1,2453,66,367,25,3,pre-paid,active,30,1568.76,yes
205,12,no,43,1,4198,72,9,36,1,pre-paid,active,15,284.35,yes
206,5,no,43,1,2393,64,10,34,2,pre-paid,active,25,155.565,yes
207,13,no,43,2,3775,88,40,29,3,pre-paid,active,30,314.52,yes
208,6,no,43,1,2360,45,293,19,4,pre-paid,active,45,792.625,yes
209,15,no,42,3,9115,127,152,44,3,pre-paid,active,30,977.68,yes
210,9,no,43,1,13773,175,8,45,3,pre-paid,active,30,589.92,yes
211,9,no,43,2,4515,89,10,26,3,pre-paid,active,30,224.16,yes
212,8,no,43,1,5918,101,15,13,3,pre-paid,active,30,300.76,yes
213,11,yes,43,0,2238,60,16,18,3,pre-paid,not-active,30,155.92,yes
214,27,no,43,4,15140,231,62,33,3,pre-paid,active,30,862.84,yes
215,6,no,43,2,3095,33,491,9,4,pre-paid,active,45,1305.7,yes
216,11,no,42,1,15485,188,158,31,2,pre-paid,active,25,1416.285,yes
217,5,no,42,2,6500,92,194,27,3,pre-paid,active,30,1039.68,yes
218,2,no,42,0,875,20,8,12,2,pre-paid,not-active,25,76.275,yes
219,4,no,43,0,710,20,21,9,3,pre-paid,not-active,30,113.2,yes
220,0,no,42,0,0,0,8,0,2,pre-paid,not-active,25,36,no
221,5,no,42,1,7508,133,392,44,3,pre-paid,active,30,1873.64,yes
222,9,no,42,2,11465,160,19,48,4,pre-paid,active,45,338.125,yes
223,10,no,42,2,6718,81,116,38,2,pre-paid,active,25,827.955,yes
224,25,yes,38,0,955,53,24,18,3,pre-paid,not-active,30,136.32,no
225,23,no,41,9,10435,99,9,43,5,post-paid,active,55,171.51,yes
226,15,no,41,2,5818,104,34,25,3,pre-paid,active,30,372.88,yes
227,3,no,39,1,2840,28,8,15,3,pre-paid,active,30,146.72,yes
228,11,no,40,0,2990,47,17,17,3,pre-paid,not-active,30,189.48,no
229,11,yes,41,0,2268,50,42,32,4,pre-paid,not-active,45,162.95,no
230,2,no,41,0,133,8,8,3,3,pre-paid,not-active,30,37.64,no
231,3,no,41,1,1668,31,8,7,4,pre-paid,active,45,62.475,yes
232,5,no,38,2,6785,103,22,23,5,pre-paid,active,55,136.32,yes
233,2,no,41,0,628,13,17,5,4,pre-paid,not-active,45,58.525,no
234,2,no,41,2,338,10,12,3,5,pre-paid,active,55,23.22,yes
235,27,no,36,4,16075,244,8,81,2,pre-paid,active,25,770.355,yes
236,8,no,39,4,6965,122,279,34,3,post-paid,active,30,1399.48,yes
237,4,no,41,1,3718,88,10,29,3,pre-paid,active,30,192.24,yes
238,5,no,40,0,1665,50,46,21,4,pre-paid,not-active,45,157.875,yes
239,8,no,41,1,2780,59,183,24,2,pre-paid,active,25,951.255,yes
240,6,yes,32,2,1315,42,201,12,3,post-paid,active,30,858.28,no
241,6,no,31,1,1568,45,38,69,5,pre-paid,active,55,81.195,yes
242,13,no,32,0,700,31,18,8,3,pre-paid,not-active,30,101.24,yes
243,2,no,31,0,825,16,29,4,4,pre-paid,not-active,45,93.525,yes
244,12,no,30,1,1225,38,27,14,2,pre-paid,active,25,178.335,yes
245,4,no,30,1,3225,67,16,24,3,pre-paid,active,30,195.68,yes
246,4,no,23,1,1695,32,36,15,3,pre-paid,active,30,213.08,yes
247,18,no,22,2,6392,147,93,43,2,post-paid,active,25,712.755,yes
248,14,no,20,1,8932,177,81,41,5,pre-paid,active,55,258.135,yes
249,10,no,21,4,2852,51,39,20,3,pre-paid,active,30,272.12,yes
250,4,no,14,2,4390,46,223,11,3,pre-paid,active,30,1069.44,yes
251,5,yes,14,2,1487,25,8,8,3,pre-paid,active,30,92.48,no
252,14,no,39,1,5080,82,30,17,3,pre-paid,active,30,326.48,yes
253,6,no,40,0,1028,16,15,4,3,pre-paid,not-active,30,101.76,yes
254,16,no,38,1,3163,71,367,24,3,pre-paid,active,30,1597.36,yes
255,16,no,39,1,4908,77,9,35,1,pre-paid,active,15,323.675,yes
256,9,no,39,1,3103,69,10,33,2,pre-paid,active,25,187.74,yes
257,17,no,39,2,4485,93,40,28,3,pre-paid,active,30,343.12,yes
258,10,no,39,1,3070,50,293,18,3,pre-paid,active,30,1296.8,yes
259,19,no,38,3,9825,132,152,43,3,pre-paid,active,30,1006.28,yes
260,13,no,39,1,14483,180,8,44,3,pre-paid,active,30,618.52,yes
261,13,no,39,2,5225,94,10,25,3,pre-paid,active,30,252.76,yes
262,12,no,39,1,6628,106,15,12,3,pre-paid,active,30,329.36,yes
263,15,no,39,0,2948,65,16,17,3,pre-paid,not-active,30,184.52,yes
264,31,yes,39,4,15850,236,62,32,3,pre-paid,active,30,891.44,yes
265,10,no,39,2,3805,38,491,8,3,pre-paid,active,30,2117.72,yes
266,15,no,38,1,16195,193,158,30,2,pre-paid,active,25,1448.46,yes
267,9,no,38,2,7210,97,194,26,3,pre-paid,active,30,1068.28,yes
268,6,no,38,0,1585,25,8,11,2,pre-paid,not-active,25,108.45,yes
269,8,no,39,0,1420,25,21,8,3,pre-paid,not-active,30,141.8,yes
270,6,no,38,0,710,11,8,2,2,pre-paid,not-active,25,68.445,no
271,9,no,38,1,8218,138,392,43,3,pre-paid,active,30,1902.24,yes
272,13,no,38,2,12175,165,19,47,4,pre-paid,active,45,356,yes
273,14,no,38,2,7428,86,116,37,2,pre-paid,active,25,860.13,yes
274,29,yes,34,0,1665,58,24,17,3,pre-paid,not-active,30,164.92,no
275,27,no,37,9,11145,104,9,42,5,post-paid,active,55,182.235,yes
276,19,no,37,2,6528,109,34,24,2,pre-paid,active,25,451.665,yes
277,7,no,35,1,3550,33,8,14,3,pre-paid,active,30,175.32,yes
278,15,yes,36,0,3700,52,17,16,3,pre-paid,not-active,30,218.08,no
279,15,yes,37,0,2978,55,42,31,3,pre-paid,not-active,30,289.32,no
280,6,no,37,0,843,13,8,2,3,pre-paid,not-active,30,66.24,no
281,7,no,37,1,2378,36,8,6,4,pre-paid,active,45,80.35,yes
282,9,no,34,2,7495,108,22,22,5,pre-paid,active,55,147.045,yes
283,6,yes,37,0,1338,18,17,4,4,pre-paid,not-active,45,76.4,no
284,6,no,37,2,1048,15,12,2,5,pre-paid,active,55,33.945,yes
285,31,yes,32,4,16785,249,8,80,2,pre-paid,active,25,802.53,yes
286,12,yes,35,4,7675,127,279,33,3,post-paid,active,30,1428.08,yes
287,8,no,37,1,4428,93,10,28,3,pre-paid,active,30,220.84,yes
288,9,no,36,0,2375,55,46,20,3,pre-paid,not-active,30,281.2,yes
289,12,no,37,1,3490,64,183,23,2,pre-paid,active,25,983.43,yes
290,10,no,28,2,2025,47,201,11,3,post-paid,active,30,886.88,yes
291,10,no,27,1,2278,50,38,68,4,pre-paid,active,45,153.2,yes
292,17,no,28,0,1410,36,18,7,3,pre-paid,not-active,30,129.84,yes
293,6,no,27,0,1535,21,29,3,4,pre-paid,not-active,45,111.4,yes
294,16,no,26,1,1935,43,27,13,2,pre-paid,active,25,210.51,yes
295,8,no,26,1,3935,72,16,23,3,pre-paid,active,30,224.28,yes
296,8,no,19,1,2405,37,36,14,2,pre-paid,active,25,271.89,yes
297,22,no,18,2,7102,152,93,42,2,post-paid,active,25,744.93,yes
298,18,no,16,1,9642,182,81,40,5,pre-paid,active,55,268.86,yes
299,14,no,17,4,3562,56,39,19,3,post-paid,active,30,300.72,yes
300,8,no,10,2,5100,51,223,10,3,pre-paid,active,30,1098.04,yes
301,9,no,10,2,2197,30,8,7,3,pre-paid,active,30,121.08,no
302,2,no,37,0,3660,60,0,17,2,pre-paid,active,25,167.4,yes
303,0,no,38,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
304,4,no,36,0,1743,49,334,24,2,pre-paid,active,25,1583.64,yes
305,4,no,37,0,3488,55,0,35,1,pre-paid,active,15,194.865,yes
306,0,no,37,0,1683,47,0,33,1,pre-paid,active,15,95.15,yes
307,5,no,37,0,3065,71,7,28,3,pre-paid,active,30,153.44,yes
308,0,no,37,0,1650,28,260,18,3,pre-paid,active,30,1107.12,yes
309,7,no,36,1,8405,110,119,43,3,pre-paid,active,30,816.6,yes
310,1,no,37,0,13063,158,0,44,3,pre-paid,active,30,528.84,yes
311,1,no,37,0,3805,72,0,25,3,pre-paid,active,30,155.08,yes
312,0,no,37,0,5208,84,0,12,2,pre-paid,active,25,238.14,yes
313,3,no,37,0,1528,43,0,17,3,pre-paid,not-active,30,62.84,yes
314,19,no,37,2,14430,214,29,32,3,pre-paid,active,30,701.76,yes
315,0,no,37,0,2385,16,458,8,3,pre-paid,active,30,1928.04,yes
316,3,no,36,0,14775,171,125,30,2,pre-paid,active,25,1235.07,yes
317,0,no,36,0,5790,75,161,26,3,pre-paid,active,30,878.6,yes
318,0,no,36,0,165,3,0,11,2,pre-paid,not-active,25,7.56,yes
319,0,no,37,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
320,0,no,36,0,0,0,0,0,2,pre-paid,not-active,25,0,no
321,0,no,36,0,6798,116,359,43,2,pre-paid,active,25,1926.63,yes
322,1,no,36,0,10755,143,0,47,3,pre-paid,active,30,435.92,yes
323,2,no,36,0,6008,64,83,37,2,pre-paid,active,25,646.74,yes
324,17,no,32,0,245,36,0,17,2,pre-paid,not-active,25,12.645,no
325,15,no,35,7,9725,82,0,42,4,pre-paid,active,45,245.175,yes
326,7,no,35,0,5108,87,1,24,2,pre-paid,active,25,238.275,no
327,0,no,33,0,2130,11,0,14,3,pre-paid,active,30,85.64,yes
328,3,yes,34,0,2280,30,0,16,2,pre-paid,not-active,25,103.95,no
329,3,no,35,0,1558,33,9,31,3,pre-paid,not-active,30,99.64,no
330,0,no,35,0,0,0,0,0,3,pre-paid,not-active,30,0,no
331,0,no,35,0,958,14,0,6,3,pre-paid,active,30,38.88,yes
332,0,no,32,0,6075,86,0,22,4,pre-paid,active,45,154.025,yes
333,0,no,35,0,0,0,0,0,4,pre-paid,not-active,45,0,no
334,0,no,35,0,0,0,0,0,5,pre-paid,active,55,0,yes
335,19,no,30,2,15365,227,0,80,2,pre-paid,active,25,701.64,yes
336,0,no,33,2,6255,105,246,33,2,post-paid,active,25,1393.2,yes
337,0,no,35,0,3008,71,0,28,2,pre-paid,active,25,138.555,yes
338,0,no,34,0,955,33,13,20,3,pre-paid,not-active,30,91.52,yes
339,0,no,35,0,2070,42,150,23,2,pre-paid,active,25,770.04,yes
340,0,no,26,0,605,25,168,11,2,post-paid,active,25,784.35,yes
341,0,no,25,0,858,28,5,68,4,pre-paid,active,45,34.65,yes
342,0,no,26,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
343,0,no,25,0,0,0,0,0,4,pre-paid,not-active,45,0,yes
344,4,no,24,0,515,21,0,13,2,pre-paid,active,25,24.12,yes
345,0,no,24,0,2515,50,0,23,3,pre-paid,active,30,102.6,yes
346,0,no,17,0,985,15,3,14,2,pre-paid,active,25,58.5,yes
347,10,no,16,0,5682,130,60,42,1,post-paid,active,15,649.66,yes
348,6,no,14,0,8222,160,48,40,4,pre-paid,active,45,329.55,yes
349,2,no,15,2,2142,34,6,19,3,pre-paid,active,30,111.04,yes
350,0,no,8,0,3680,29,190,10,3,pre-paid,active,30,908.36,yes
351,0,no,8,0,777,8,0,7,3,pre-paid,active,30,31.4,no
352,8,no,38,0,4370,71,5,17,3,pre-paid,active,30,197.64,yes
353,0,no,39,0,318,5,7,4,2,pre-paid,not-active,25,46.035,yes
354,10,no,37,0,2453,60,359,24,3,pre-paid,active,30,1536.52,yes
355,10,no,38,0,4198,66,1,35,1,pre-paid,active,15,240.02,yes
356,3,no,38,0,2393,58,2,33,1,pre-paid,active,15,145.805,yes
357,11,no,38,1,3775,82,32,28,3,pre-paid,active,30,282.28,yes
358,4,no,38,0,2360,39,285,18,3,pre-paid,active,30,1235.96,yes
359,13,no,37,2,9115,121,144,43,3,pre-paid,active,30,945.44,yes
360,7,no,38,0,13773,169,0,44,3,pre-paid,active,30,557.68,yes
361,7,no,38,1,4515,83,2,25,3,pre-paid,active,30,191.92,yes
